,0,1
bedragen x €,hting Partners voor,r de Stichting Partne
Bezoldiging,,
Functiegegevens,,
Aanvang en einde functievervulling,,
Omvang dienstverband (als deeltijdfactor in fte),,
Dienstbetrekking?,,
Beloning plus belastbare onkostenvergoedingen,,
Beloningen betaalbaar op termijn,,
Subtotaal,,
Individueel toepasselijke bezoldigingsmaximum,,
-/- Onverschuldigd betaald en nog niet terugontvangen bedrag,,
Het bedrag van de overschrijding en de reden waarom de overschrijding al dan niet is toegestaan,,
Toelichting op de vordering wegens onverschuldigde betaling,,
