,0,1,2,3,4
bedragen x €,J.B. van Nispe,P.B. Mens,J.A.M.,M.S. V,L. Witkam
Bezoldiging,,,,,
Functiegegevens,"Bestuurder
","Voorzitter RvC
","Lid RvC
","Lid RvC
","Directeur
"
Aanvang en einde functievervulling,"1-dec-07
","1-jan-16
","1-jul-16
","1-jun-21
","1-mei-02
"
Omvang dienstverband (als deeltijdfactor in fte),,,,,
Dienstbetrekking?,,,,,
Beloning plus belastbare onkostenvergoedingen,,,,,
Beloningen betaalbaar op termijn,,,,,
Subtotaal,,,,,
Individueel toepasselijke bezoldigingsmaximum,,,,,
-/- Onverschuldigd betaald en nog niet terugontvangen bedrag,,,,,
Het bedrag van de overschrijding en de reden waarom de overschrijding al dan niet is toegestaan,,,,,
Toelichting op de vordering wegens onverschuldigde betaling,,,,,
