,0,1
bedragen x €,Lid,FU
Bezoldiging,,
Functiegegevens,,"AM TOPFUN
"
Aanvang en einde functievervulling,,
Omvang dienstverband (als deeltijdfactor in fte),,
Dienstbetrekking?,"bezoldiging
","nstbetrekk
"
Beloning plus belastbare onkostenvergoedingen,,
Beloningen betaalbaar op termijn,,
Subtotaal,,
Individueel toepasselijke bezoldigingsmaximum,,
-/- Onverschuldigd betaald en nog niet terugontvangen bedrag,,
Het bedrag van de overschrijding en de reden waarom de overschrijding al dan niet is toegestaan,,
Toelichting op de vordering wegens onverschuldigde betaling,,
