,0,1,2,3,4,5,6,7,8,9,10,11
bedragen x €,Reinier Haga,", lid en lid auditcom",mmissie kwal,vice-voorzitte,acht wordt be,ma’s. Daarnaa,n de raad van,a Groe,onisse,"n, voo","RA, vic",mmiss
Bezoldiging,,,,,,,,,,,,
Functiegegevens,,,,,,,,,,,,
Aanvang en einde functievervulling,,,,,,,,,,,,
Omvang dienstverband (als deeltijdfactor in fte),,,,,,,,,,,,
Dienstbetrekking?,,,,,,,,,,,,
Beloning plus belastbare onkostenvergoedingen,,,,,,,,,,,,
Beloningen betaalbaar op termijn,,,,,,,,,,,,
Subtotaal,,,,,,,,,,,,
Individueel toepasselijke bezoldigingsmaximum,,,,,,,,,,,,
-/- Onverschuldigd betaald en nog niet terugontvangen bedrag,,,,,,,,,,,,
Het bedrag van de overschrijding en de reden waarom de overschrijding al dan niet is toegestaan,,,,,,,,,,,,
Toelichting op de vordering wegens onverschuldigde betaling,,,,,,,,,,,,
