,0,1,2,3,4
bedragen x €,J.W. Zwemm,R.J. Me,A. Bonn,K.H.A. van,M.C. Kirchner
Bezoldiging,"9.903
","6.602
","6.602
","1.664
","86.110
"
Functiegegevens,"Voorzitter
","Lid
","Lid
","Lid
","Directeur-
b
d
"
Aanvang en einde functievervulling,"1/1 - 31/12
1/
","1/1 - 31/12
","1/1 - 31/12
1/1
","1/10 - 31/12
","1/1 - 31/12
"
Omvang dienstverband (als deeltijdfactor in fte),,,,,"1,0
"
Dienstbetrekking?,,,,,"ja
"
Beloning plus belastbare onkostenvergoedingen,,,,,"181.099
"
Beloningen betaalbaar op termijn,,,,,"12.769
"
Subtotaal,,,,,"193.868
"
Individueel toepasselijke bezoldigingsmaximum,"29.555
","19.703
","19.703
","5.268
","197.033
"
-/- Onverschuldigd betaald en nog niet terugontvangen bedrag,"nvt
","nvt
","nvt
","nvt
","nvt
"
Het bedrag van de overschrijding en de reden waarom de overschrijding al dan niet is toegestaan,"nvt
","nvt
","nvt
","nvt
","nvt
"
Toelichting op de vordering wegens onverschuldigde betaling,"nvt
","nvt
","nvt
","nvt
","nvt
"
